"						學員",Exam 1,final exam,semester grades, 排名
B998756464,81.8,64,82.9,25
B962217009,48.4,28,49.66,62
B618811265,77.8,52,76.96,44
B161109081,100,46,86.61,27
B698417742,75.2,61,77.35,38
B679433406,94.8,67,90.03,14
B485071822,96.2,61,90.15,17
B170077202,98.8,52,87.46,23
B038115159,34,0,17,65
B576800348,70,61,72.05,45
B823286234,72.6,46,72.21,52
B930196221,45.6,58,63.58,58
B167866313,91,61,85.25,22
B035633069,100,79,99.44,2
B759694139,74,46,72.91,51
B457022688,80.6,61,82.35,31
B619380269,98.8,52,88.46,21
B619167248,63.4,49,65.7,57
B285506342,77.8,34,70.75,56
B340402323,89.6,79,92.24,7
B059758376,74,52,74.06,46
B448964769,94.8,73,95.12,6
B112228039,92.2,67,87.43,18
B247076169,100,67,94.63,11
B070451643,62,0,34,63
B772591666,80.4,37,73.61,53
B234974057,77.8,55,76.98,41
B568961065,100,70,93.83,8
B058150736,98.8,67,93.33,13
B571854901,87,49,81.5,37
B404717331,90.8,52,83.16,34
B563912082,89.6,61,86.85,20
B551238588,93.6,58,87.88,19
B217948314,83,61,83.55,26
B015045893,47,34,60.65,60
B874488686,66,49,70,54
B553804146,79.2,43,75.39,47
B725209684,52.2,37,64.51,59
B131296182,83,61,83.55,26
B810356350,100,43,85.49,32
B214538888,72.8,67,79.33,35
B713816664,84.4,49,80.2,39
B621709197,96.2,91,97.8,1
B092090214,76.6,94,89.78,4
B188244323,84.4,49,80.2,39
B587509652,59.4,28,60.16,61
B208688084,84.4,76,85.79,16
B742600467,98.8,73,92.12,10
B555498868,98.8,73,91.12,12
B000463778,75.2,46,73.51,49
B471295749,94.8,55,86.48,24
B517942536,94.8,76,91.99,9
B856534672,63.4,46,70.61,55
B705009023,89.6,55,83.88,29
B723087136,78,58,80.08,36
B477416029,92.2,64,91.1,15
B304698999,100,70,95.53,5
B571733063,98.8,48,85.74,28
B540709231,67.4,61,75.75,42
B714548671,100,70,95.53,5
B065613612,79.2,61,81.65,33
B243001765,78,64,82,30
B544158576,55.6,0,28.8,64
B765546590,54.8,61,70.45,50
B415573795,67.4,52,72.76,48
B392728585,77.8,55,77.98,40
B883651320,80.4,49,78.2,43
B392336954,100,76,97.29,3
