SID,SEASON,NAME,ISO_TIME,LAT,LON,TOKYO_WIND
1980076N06148,1980,UNNAMED,1980-03-16 00:00:00,6.0,147.8, 
1980076N06148,1980,UNNAMED,1980-03-16 03:00:00,6.0,147.5, 
1980076N06148,1980,UNNAMED,1980-03-16 06:00:00,6.1,147.2, 
1980076N06148,1980,UNNAMED,1980-03-16 09:00:00,6.1,147.0, 
1980076N06148,1980,UNNAMED,1980-03-16 12:00:00,6.1,146.8, 
1980076N06148,1980,UNNAMED,1980-03-16 15:00:00,6.1,146.7, 
1980076N06148,1980,UNNAMED,1980-03-16 18:00:00,6.0,146.5, 
1980076N06148,1980,UNNAMED,1980-03-16 21:00:00,6.0,146.3, 
1980076N06148,1980,UNNAMED,1980-03-17 00:00:00,6.0,146.0, 
1980076N06148,1980,UNNAMED,1980-03-17 03:00:00,6.0,145.5, 
1980076N06148,1980,UNNAMED,1980-03-17 06:00:00,6.0,144.9, 
1980076N06148,1980,UNNAMED,1980-03-17 09:00:00,6.1,144.2, 
1980076N06148,1980,UNNAMED,1980-03-17 12:00:00,6.1,143.5, 
1980076N06148,1980,UNNAMED,1980-03-17 15:00:00,6.1,142.8, 
1980076N06148,1980,UNNAMED,1980-03-17 18:00:00,6.6,142.1, 
1980076N06148,1980,UNNAMED,1980-03-17 21:00:00,7.0,141.5, 
1980076N06148,1980,UNNAMED,1980-03-18 00:00:00,7.1,140.9, 
1980076N06148,1980,UNNAMED,1980-03-18 03:00:00,7.2,140.6, 
1980076N06148,1980,UNNAMED,1980-03-18 06:00:00,7.3,140.3, 
1980076N06148,1980,UNNAMED,1980-03-18 09:00:00,7.5,140.0, 
1980076N06148,1980,UNNAMED,1980-03-18 12:00:00,7.9,139.6, 
1980076N06148,1980,UNNAMED,1980-03-18 15:00:00,8.1,139.2, 
1980076N06148,1980,UNNAMED,1980-03-18 18:00:00,8.3,138.9, 
1980076N06148,1980,UNNAMED,1980-03-18 21:00:00,8.5,138.5, 
1980076N06148,1980,UNNAMED,1980-03-19 00:00:00,8.7,138.2, 
1980076N06148,1980,UNNAMED,1980-03-19 03:00:00,8.8,137.9, 
1980076N06148,1980,UNNAMED,1980-03-19 06:00:00,8.8,137.7, 
1980076N06148,1980,UNNAMED,1980-03-19 09:00:00,8.9,137.5, 
1980076N06148,1980,UNNAMED,1980-03-19 12:00:00,9.0,137.2, 
1980076N06148,1980,UNNAMED,1980-03-19 15:00:00,9.0,136.9, 
1980076N06148,1980,UNNAMED,1980-03-19 18:00:00,9.0,136.6, 
1980076N06148,1980,UNNAMED,1980-03-19 21:00:00,9.0,136.4, 
1980076N06148,1980,UNNAMED,1980-03-20 00:00:00,9.0,136.2, 
1980076N06148,1980,UNNAMED,1980-03-20 03:00:00,9.0,135.9, 
1980076N06148,1980,UNNAMED,1980-03-20 06:00:00,9.0,135.6, 
1980076N06148,1980,UNNAMED,1980-03-20 09:00:00,9.0,135.3, 
1980076N06148,1980,UNNAMED,1980-03-20 12:00:00,9.0,135.1, 
1980076N06148,1980,UNNAMED,1980-03-20 15:00:00,9.1,134.8, 
1980076N06148,1980,UNNAMED,1980-03-20 18:00:00,9.1,134.6, 
1980076N06148,1980,UNNAMED,1980-03-20 21:00:00,9.2,134.3, 
1980076N06148,1980,UNNAMED,1980-03-21 00:00:00,9.2,134.1, 
1980076N06148,1980,UNNAMED,1980-03-21 03:00:00,9.3,133.8, 
1980076N06148,1980,UNNAMED,1980-03-21 06:00:00,9.3,133.4, 
1980076N06148,1980,UNNAMED,1980-03-21 09:00:00,9.3,132.9, 
1980076N06148,1980,UNNAMED,1980-03-21 12:00:00,9.4,132.3, 
1980076N06148,1980,UNNAMED,1980-03-21 15:00:00,9.7,131.6, 
1980076N06148,1980,UNNAMED,1980-03-21 18:00:00,10.0,131.0, 
1980076N06148,1980,UNNAMED,1980-03-21 21:00:00,10.2,130.4, 
1980076N06148,1980,UNNAMED,1980-03-22 00:00:00,10.4,129.9, 
1980076N06148,1980,UNNAMED,1980-03-22 03:00:00,10.5,129.6, 
1980076N06148,1980,UNNAMED,1980-03-22 06:00:00,10.6,129.3, 
1980076N06148,1980,UNNAMED,1980-03-22 09:00:00,10.7,129.0, 
1980076N06148,1980,UNNAMED,1980-03-22 12:00:00,10.8,128.7, 
1980076N06148,1980,UNNAMED,1980-03-22 15:00:00,10.9,128.4, 
